task_count,nfdh,ffdh
500,0.00224115,1.89753e-05
1000,0.00235824,3.70612e-05
50,2.69237e-05,3.90036e-05
50,2.65203e-05,3.86333e-06
50,2.65136e-05,3.95155e-06
50,2.79884e-05,3.99327e-06
50,2.72727e-05,4.05931e-06
