task_count,nfdh,ffdh
500,267000,216000
1000,431000,350000
1500,525000,423000
2000,589000,473000
2500,624000,494000
3000,656000,520000
3500,656000,525000
4000,674000,530000
4500,674000,532000
5000,667000,538000
500,320000,258000
1000,593000,479000
1500,832000,667000
2000,1.039e+06,809000
2500,1.261e+06,988000
3000,1.388e+06,1.097e+06
3500,1.568e+06,1.21e+06
4000,1.72e+06,1.333e+06
4500,1.819e+06,1.423e+06
5000,1.928e+06,1.51e+06
