task_count,nfdh,ffdh
500,0.338131,0.0970031
1000,0.336899,0.069134
1500,0.324933,0.0648084
2000,0.35429,0.0566682
2500,0.342449,0.0544313
3000,0.324944,0.0484601
3500,0.343097,0.0505456
4000,0.331056,0.0432898
4500,0.327403,0.040852
5000,0.335604,0.0439911
