x,y1,y2,y3,y4
65527,195.758894,73271706601.179352,68921460816296738816.000000,68514678955708481828141662208.000000
65528,127.274931,4801275118.355479,451621656290947712.000000,44895613679307099383791616.000000
65529,82.400717,314617955.855598,2959386389343323.000000,29419197731776367689728.000000
65530,52.996366,20616599.929261,19392563070727.843750,19278106081655738368.000000
65531,33.728518,1351005.693365,127079465802.469620,12632942915309006.000000
65532,21.102635,88532.654092,832764447.340164,8278493821831.144531
65533,12.828979,5801.621888,5457271.966310,5425062571.321385
65534,7.407215,380.097687,35763.130377,3555206.253864
65535,3.854244,24.809322,234.360099,2329.867866
65536,1.525879,1.525879,1.525879,1.525879
