lambda,mu,m,n,theta,tao
0.000001,1,1,65536,15.258789,1.070131
0.000001,1,2,65527,187159114501307.312500,0.516936
0.000001,1,2,65528,6131987647963.081055,0.516937
0.000001,1,2,65529,200908443297.362396,0.516937
0.000001,1,2,65530,6582664689.916430,0.516937
0.000001,1,2,65531,215681008.065112,0.516937
0.000001,1,2,65532,7066895.569757,0.516938
0.000001,1,2,65533,231553.400239,0.516938
0.000001,1,2,65534,7586.694489,0.516938
0.000001,1,2,65535,248.093218,0.516939
0.000001,1,2,65536,15.258789,1.033878
0.000001,1,3,65527,3197714686244898.000000,0.340777
0.000001,1,3,65528,69845550081856.140625,0.340777
0.000001,1,3,65529,1525613068587.622803,0.340777
0.000001,1,3,65530,33323966256.826107,0.340777
0.000001,1,3,65531,727906502.603272,0.340777
0.000001,1,3,65532,15900146.674032,0.340777
0.000001,1,3,65533,347322.470614,0.340777
0.000001,1,3,65534,7586.694489,0.340777
0.000001,1,3,65535,248.093218,0.511166
0.000001,1,3,65536,15.258789,1.033499
0.000001,10,1,65527,689214608162968305664.000000,0.100660
0.000001,10,1,65528,4516216562909483008.000000,0.100660
0.000001,10,1,65529,29593863893433260.000000,0.100660
0.000001,10,1,65530,193925630707278.687500,0.100660
0.000001,10,1,65531,1270794658024.697266,0.100660
0.000001,10,1,65532,8327644473.401643,0.100660
0.000001,10,1,65533,54572719.663096,0.100660
0.000001,10,1,65534,357631.303768,0.100660
0.000001,10,1,65535,2343.600986,0.100660
0.000001,10,1,65536,15.258789,0.100660
0.000001,10,2,65527,176435138294891080056832.000000,0.050164
0.000001,10,2,65528,578063265352466497536.000000,0.050164
0.000001,10,2,65529,1893966482600820992.000000,0.050164
0.000001,10,2,65530,6205486481917460.000000,0.050164
0.000001,10,2,65531,20332276458002.507812,0.050164
0.000001,10,2,65532,66619720428.418106,0.050164
0.000001,10,2,65533,218286175.905755,0.050164
0.000001,10,2,65534,715247.348282,0.050164
0.000001,10,2,65535,2343.600986,0.050164
0.000001,10,2,65536,15.258789,0.100329
0.000001,10,3,65527,3014559675080001642823680.000000,0.033406
0.000001,10,3,65528,6584501727632241459200.000000,0.033406
0.000001,10,3,65529,14382307640276183040.000000,0.033406
0.000001,10,3,65530,31415274578655268.000000,0.033406
0.000001,10,3,65531,68621431437975.945312,0.033406
0.000001,10,3,65532,149894367452.033417,0.033406
0.000001,10,3,65533,327429256.228888,0.033406
0.000001,10,3,65534,715247.348282,0.033406
0.000001,10,3,65535,2343.600986,0.050109
0.000001,10,3,65536,15.258789,0.100328
0.000001,100,1,65527,685146789557085821036021153792.000000,0.010007
0.000001,100,1,65528,448956136793071526413860864.000000,0.010007
0.000001,100,1,65529,294191977317763978887168.000000,0.010007
0.000001,100,1,65530,192781060816557604864.000000,0.010007
0.000001,100,1,65531,126329429153090176.000000,0.010007
0.000001,100,1,65532,82784938218311.515625,0.010007
0.000001,100,1,65533,54250625713.213890,0.010007
0.000001,100,1,65534,35552062.538640,0.010007
0.000001,100,1,65535,23298.678664,0.010007
0.000001,100,1,65536,15.258789,0.010007
0.000001,100,2,65527,175397540448500373033518989574144.000000,0.005002
0.000001,100,2,65528,57466373164844413370945765376.000000,0.005002
0.000001,100,2,65529,18828282503729626801504256.000000,0.005002
0.000001,100,2,65530,6168992620934494945280.000000,0.005002
0.000001,100,2,65531,2021270432249187072.000000,0.005002
0.000001,100,2,65532,662279363478607.250000,0.005002
0.000001,100,2,65533,217002456237.395447,0.005002
0.000001,100,2,65534,71104109.818026,0.005002
0.000001,100,2,65535,23298.678664,0.005002
0.000001,100,2,65536,15.258789,0.010003
0.000001,100,3,65527,2996831413686516125778775277305856.000000,0.003334
0.000001,100,3,65528,654577906815454402418795610112.000000,0.003334
0.000001,100,3,65529,142977270259343712560611328.000000,0.003334
0.000001,100,3,65530,31230525142748446588928.000000,0.003334
0.000001,100,3,65531,6821787708681018368.000000,0.003334
0.000001,100,3,65532,1490128567791919.000000,0.003334
0.000001,100,3,65533,325503684348.463379,0.003334
0.000001,100,3,65534,71104109.818026,0.003334
0.000001,100,3,65535,23298.678664,0.005001
0.000001,100,3,65536,15.258789,0.010003
0.000001,1000,1,65527,684742647055647492634319171046074220544.000000,0.001000
0.000001,1000,1,65528,44869131433615406683502329953517568.000000,0.001000
0.000001,1000,1,65529,2940184444581950805784920064000.000000,0.001000
0.000001,1000,1,65530,192667346469010686286495744.000000,0.001000
0.000001,1000,1,65531,12625491214114266021888.000000,0.001000
0.000001,1000,1,65532,827361064752121856.000000,0.001000
0.000001,1000,1,65533,54218625295336.046875,0.001000
0.000001,1000,1,65534,3553109171.478257,0.001000
0.000001,1000,1,65535,232849.455444,0.001000
0.000001,1000,1,65536,15.258789,0.001000
0.000001,1000,2,65527,175294117269797902259884710892502563946496.000000,0.000500
0.000001,1000,2,65528,5743248811169023960016017062751109120.000000,0.000500
0.000001,1000,2,65529,188171804049141901037862932971520.000000,0.000500
0.000001,1000,2,65530,6165355073768110900419493888.000000,0.000500
0.000001,1000,2,65531,202007858992012098273280.000000,0.000500
0.000001,1000,2,65532,6618888503802771456.000000,0.000500
0.000001,1000,2,65533,216874500715601.593750,0.000500
0.000001,1000,2,65534,7106218327.697259,0.000500
0.000001,1000,2,65535,232849.455444,0.000500
0.000001,1000,2,65536,15.258789,0.001000
0.000001,1000,3,65527,2995064331789367626643837091622123556831232.000000,0.000333
0.000001,1000,3,65528,65419193489720627023009824718297497600.000000,0.000333
0.000001,1000,3,65529,1428929636998138215178510008320000.000000,0.000333
0.000001,1000,3,65530,31212110060950324073388310528.000000,0.000333
0.000001,1000,3,65531,681776524098025027534848.000000,0.000333
0.000001,1000,3,65532,14892499133555886080.000000,0.000333
0.000001,1000,3,65533,325311751073394.812500,0.000333
0.000001,1000,3,65534,7106218327.697259,0.000333
0.000001,1000,3,65535,232849.455444,0.000500
0.000001,1000,3,65536,15.258789,0.001000
0.000000,1,1,65527,6892146081629683580928.000000,1.006596
0.000000,1,1,65528,45162165629094830080.000000,1.006596
0.000000,1,1,65529,295938638934332544.000000,1.006596
0.000000,1,1,65530,1939256307072787.000000,1.006596
0.000000,1,1,65531,12707946580246.972656,1.006596
0.000000,1,1,65532,83276444734.016434,1.006596
0.000000,1,1,65533,545727196.630957,1.006596
0.000000,1,1,65534,3576313.037682,1.006597
0.000000,1,1,65535,23436.009861,1.006597
0.000000,1,1,65536,152.587891,1.006597
0.000000,1,2,65527,1764351382948910867677184.000000,0.501644
0.000000,1,2,65528,5780632653524665106432.000000,0.501644
0.000000,1,2,65529,18939664826008211456.000000,0.501644
0.000000,1,2,65530,62054864819174608.000000,0.501644
0.000000,1,2,65531,203322764580025.062500,0.501644
0.000000,1,2,65532,666197204284.181152,0.501644
0.000000,1,2,65533,2182861759.057548,0.501644
0.000000,1,2,65534,7152473.482816,0.501644
0.000000,1,2,65535,23436.009861,0.501644
0.000000,1,2,65536,152.587891,1.003288
0.000000,1,3,65527,30145596750800013207011328.000000,0.334063
0.000000,1,3,65528,65845017276322435563520.000000,0.334063
